,date,client_id,gmv
0,2021-09-20,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
1,2021-10-05,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
2,2021-10-10,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
3,2021-10-12,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
4,2021-09-24,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
5,2021-10-08,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
6,2021-10-11,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
7,2021-09-01,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
8,2021-09-02,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
9,2021-09-04,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
10,2021-09-07,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
11,2021-09-10,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
12,2021-09-11,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
13,2021-09-15,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
14,2021-09-23,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
15,2021-10-02,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
16,2021-10-04,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
17,2021-10-01,321d74a7-c2d1-4858-b386-a19b96b9ac6d,142118.45
18,2021-10-13,321d74a7-c2d1-4858-b386-a19b96b9ac6d,125045.42
19,2021-11-06,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
20,2021-11-10,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
21,2021-11-11,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
22,2021-11-21,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
23,2021-09-03,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
24,2021-09-05,f9922baa-3b8f-4628-aba7-bfd631ed6876,0.0
