,regular_prophet_mae,regular_prophet_mape,short_prophet_mae,short_prophet_mape,lizardi_mae,lizardi_mape,fourier_mae,fourier_mape,sarima_mae,sarima_mape,lizardi_dos_mae,lizardi_dos_mape,client_id,timestamp,covid_scenarios_mae,covid_scenarios_mape,pandemic_mae,pandemic_mape,uuidindex,date_time,regular_prophet_mdape,short_prophet_mdape,pandemic_mdape,covid_scenarios_mdape,best_model,decision,max_proposal
0,1904311.93434851,1.52839206650072,2465500.14415811,1.29496705399329,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1647574760,2212608.94016612,1.33709676364283,1272368.72267297,1.09542672880261,b5b0f31f-60bd-44a8-8ae5-14a9e2fb0c4c,2022-03-18 03:39:20,0.701311306385163,0.773680637060448,0.447839079754553,0.761445804375025,Pandemic,Rejected,0.0
1,3594454.76773854,1.13731442221681,2787651.07266883,0.883990175503085,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1646169058,1985652.88055192,0.64739599785246,1975738.87390891,0.644773798515887,07035485-1f3c-4e2b-b67a-1d2b393323ef,2022-03-01 15:10:58,1.42227095834516,0.979646437460147,0.802416107331507,0.802876517803129,Pandemic,Fixed Payments,15331080.12
2,5822449.61853165,1.85427328742766,1502204.11117264,0.490633685804477,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1646029808,3134270.63805172,1.03025028911378,1896469.40138201,0.623295273581762,1d5289c3-0aa8-4560-ac9e-37f192887284,2022-02-28 06:30:08,2.31825166962002,0.615154963604326,0.801976936724049,1.24991487850241,Pandemic,Fixed Payments,15312038.19
3,3790043.83110896,4.16740238169871,2928991.7357485,2.81109223847938,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1646634609,3131709.67384999,3.35232637612158,2207573.91910318,3.0117235215528,65a9e624-5c51-44c1-9590-586905df0a4d,2022-03-07 06:30:09,2.61875234519385,2.05384412388286,1.67326031472387,2.34278346120259,Pandemic,Fixed Payments,15394652.33
4,1776485.56793779,0.981043645722288,2085866.30221839,0.90719674028666,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1649102943,2080751.49630425,1.08093595073926,1786283.69888549,1.00292122904874,e50d81c4-6c6d-4d1a-9183-65d8fee7ac9b,2022-04-04 20:09:03,0.540811931730825,0.600248387460815,0.587576943243617,0.773267984770193,RP,Rejected,0.0
5,3204133.80051185,0.842712492307834,2103285.21420355,0.780831008821337,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1652115192,2305937.17016257,0.788508273697214,1547171.01552352,0.603610160269416,b0abe10e-74d5-4055-b47e-e1a4ffc4fbef,2022-05-09 16:53:12,0.544586010642757,0.63130300799114,0.453620855789635,0.678134956439479,Pandemic,Rejected,0.0
6,3263107.64746858,1.02101080105291,1854568.02031682,0.755127210248023,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1654538697,2499926.15199732,0.882037882252014,1620760.00050716,0.672406110007829,52a5bd09-3fc6-4a63-baf9-0aea5cee172b,2022-06-06 18:04:57,0.851348627767711,0.535330449731707,0.499570667841383,0.811132858930715,Pandemic,Rejected,0.0
7,951159.527516481,0.329273196971216,2247511.99883858,0.773307720929184,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1656114732,1953637.8245049,0.692181913184939,1421797.84815384,0.519268099805423,ba02113a-7579-4f02-a1de-d81818aa68be,2022-06-24 23:52:12,0.253935207175133,0.69979823430621,0.485855282842172,0.657557987066083,RP,Rejected,0.0
8,795002.904857029,0.27595908611783,2339879.25991842,0.818446632211527,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1656503572,1983100.23914358,0.739413938136361,1575691.64830184,0.592394778430329,d5a3eff1-3a22-4126-8af9-eeed7d5d4dc1,2022-06-29 11:52:52,0.308968039066464,0.767924108659512,0.551561844994342,0.702628526357377,RP,Revenue Based,13409437.8
9,1294663.79399089,0.504936431648748,2119825.12672004,0.81781752457401,,,,,,,,,321d74a7-c2d1-4858-b386-a19b96b9ac6d,1656949342,1935380.82002206,0.75720880404694,1491093.57649097,0.575876223833073,41077969-fdc5-4271-a67b-3d434bbbffd3,2022-07-04 15:42:22,0.473191258248453,0.746346519800826,0.538081023666782,0.712102367912325,RP,Rejected,0.0
