,id,registered_name,business_name
0,321d74a7-c2d1-4858-b386-a19b96b9ac6d,DPTL SA DE CV,Dprisa México
1,f9922baa-3b8f-4628-aba7-bfd631ed6876,Edulaboris Internacional SAPI de CV,Latam Business School
