,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
103,4bad95c7-d146-4edd-910d-df927a66f6e3,2022-05-04,d5a0a1a0-78a4-41a3-994f-a646e73d0e9f,2022-05-09,30,0.33334,4f13b39b-9479-4600-8f5e-c54e90f3226c,270,850000.0,0.0,4000.0,4000.0,0.12,0,cs,fixed-payments,working-capital,2,1,2022-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,5a22f236-b3dc-42af-8921-50acb8999fea,2022-05-11,bfec734e-52a0-4ea4-ab78-09fa03d97601,2022-05-19,30,0.4,5ba5227f-0755-45a6-89ad-3bf8adc321a2,270,4200000.0,0.202,18900.0,23500.0,0.1025,0,cs,revenue-based-capped,working-capital,2,1,2022-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,5fc41c90-9fc4-4adc-bbae-66e166078ab7,2022-05-12,c6530cf1-6942-4341-aa7a-36dfa3514de8,2022-05-16,30,0.5,be5801d2-a186-4bff-863b-16b973e83602,180,25000000.0,0.0,178660.0,178660.0,0.0615,0,rp,fixed-payments,working-capital,2,1,2022-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,bfeeb376-d513-416b-88c3-547944396c03,2022-01-25,3b3b473f-f098-47e5-ad63-96d2fa3d5caa,2022-02-02,30,0.5,4328d5d9-647d-48a9-886d-b33eeebaa9fe,210,500000.0,0.25,2200.0,2800.0,0.126,0,0,revenue-based-capped,working-capital,1,1,2022-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,8bd352ff-5b8b-4073-b936-623dc008a43a,2022-04-27,8388981c-151a-43ce-9e68-562593fbc870,2022-05-11,30,0.4,813e2319-1f0f-461e-b612-b9ac0a8fe36a,270,400000.0,0.075,1600.0,2200.0,0.131,0,pandemic,revenue-based-capped,working-capital,1,1,2022-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,26e13e4a-6610-4c32-92c6-352cc1d33d0c,2022-05-04,aab1d502-4154-4acf-b905-921b9fd535c3,2022-05-13,30,0.33333,e58a59ec-1f65-42bc-9b6d-e6aed6ed801e,270,600000.0,0.0,2800.0,2800.0,0.115,0,cs,fixed-payments,working-capital,1,1,2022-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,9a0b9062-0b7b-4526-b30e-d308256d3866,2022-05-18,ab96881c-d02a-4678-8361-c56a6cc56d51,2022-06-06,30,0.3,2357c953-d1a6-4ca0-86e9-879c4240a53a,300,1400000.0,0.24,5300.0,6300.0,0.112,0,rp,revenue-based-capped,working-capital,1,1,2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,d91b2628-a720-4c0c-9228-773f8783ec04,2022-05-18,30e8ae36-9059-437b-b2d8-37eb9f19224c,2022-05-25,30,0.5,3cc600ab-9517-4353-ad21-32efe52e7fe8,150,2000000.0,0.0,29775.0,29775.0,0.105,7efdb1f6-95cd-4d2b-b62f-06b8f2edd136,rp,fixed-payments,working-capital,1,1,2022-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,99e3ed96-bdc9-423e-8ac2-b43b4317ce25,2022-05-20,b7a4abd6-0701-46e6-9165-a1ac2b344840,2022-06-07,30,0.4,ad47300e-dc96-4efc-bf20-616fe95fc2dd,270,1500000.0,0.126,6000.0,8300.0,0.1135,0,rp,revenue-based-capped,working-capital,2,1,2022-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,c3df42ce-881d-4d9b-824b-dd97df35762f,2021-03-24,fe131631-5b91-40ab-89ca-214bc0db4892,2021-04-06,30,0.3333,2dfdeee7-9831-4008-bad8-cb2399dffc78,300,140482.0,0.036,559.0,745.0,0.129,0,0,revenue-based-capped,working-capital,1,1,2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
