,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn
255,a3a56341-ec2c-4320-a2a4-2b58cc7dfda5,2021-03-04,8e60ab46-986d-49af-9a10-9990bb0ea832,2021-03-11,30,0.3333,d3d89593-7dd1-4d4f-94ba-8a3ff827185c,300,610004.0,0.235,2450.0,2990.0,0.12,,,revenue-based-capped,working-capital,1,1
256,a2e3a746-d4fe-40fa-821a-aee8a3c23506,2021-03-08,d9b8dbfc-93ae-466b-8d90-b8fa2c714e5c,2021-03-22,30,0.3333,470e1916-f77e-4adb-8bce-b3f50192fbda,300,1140495.0,0.068,4352.32,5479.61,0.12,,,revenue-based-capped,working-capital,2,1
257,43740e94-f362-46aa-bdc4-75fbca1c12ee,2021-03-23,2d2581a8-4094-49a0-8d4a-7b31f2cc6818,2021-04-06,30,0.3333,89fca8c5-cd7a-443a-b3d7-b87a97ea0d20,300,160792.0,0.085,679.0,899.0,0.13,,,revenue-based-capped,working-capital,1,1
258,25ae9135-fccd-455d-a4e1-563cbc7f0fc5,2021-03-23,c0d94c22-e65a-4f8c-9b34-0af746f6847c,2021-04-06,30,0.25,24163429-95b5-4317-b771-3bed674bed59,330,479373.0,0.12,1689.0,2172.0,0.151,,,revenue-based-capped,working-capital,0,0
259,ea21d398-78d6-4dfb-b2a9-f32b1909b05e,2021-03-29,d9f5fd65-145e-44d6-8996-b8dc8b4d4e19,2021-04-05,30,0.25,7f04d99d-6057-4156-8a46-f734f8528516,330,503416.0,0.156,1921.12,2418.71,0.12,085b99ed-7b3e-4860-8efb-5c7ad6584424,,revenue-based-capped,working-capital,1,0
260,ee475f23-3880-43d1-bcd8-03e06a7e2d76,2021-03-30,b09d7d65-ec67-48af-8082-b3fd8a101193,2021-04-12,30,0.25,1b1ca414-f35a-42ca-a641-e8114d5e2da6,300,216499.0,0.05,790.0,996.0,0.128,,,revenue-based-capped,working-capital,2,0
261,a7954989-1125-403e-9ad6-e3a6666cfbe1,2021-04-09,b1ee65c5-05af-4a54-9802-54b09a36cf5c,2021-04-15,30,0.25,929d7a0c-10b5-431c-bf1d-2f0e17d51e8b,570,186641.0,0.12,660.0,836.0,0.15,64481cec-c674-4977-b417-61cc5e6b73df,,revenue-based-capped,working-capital,1,0
262,ba830457-c1b1-48c6-b58b-61d1a5075016,2021-04-20,6e2908d7-962e-4be0-a316-2c4f69416c40,2021-06-16,30,0.3333,b97044da-4908-47af-a309-99f075f13402,270,3743001.0,0.245,17299.0,22470.0,0.081,,,revenue-based-capped,working-capital,4,1
263,f416c8d8-de5b-4812-9747-c2ec1f6aecb8,2021-04-23,2064e546-cb4b-42a6-ba20-be193a941ba3,2021-04-30,30,0.35,99ce0771-79d4-4dd9-8e90-f08acaaf1fdf,330,603728.0,0.092,2300.0,2600.0,0.12,,,revenue-based-capped,working-capital,1,1
264,e6f4ffcb-6402-469e-9819-044dbb77b00e,2021-04-26,59eff6b7-639e-48cb-96c1-6940e6c70b8a,2021-05-07,30,0.46,b3a06af5-72dc-43e7-acd6-7755e8d7679b,270,309439.0,0.045,1912.66,1912.66,0.12,,,revenue-based-capped,working-capital,1,1
